net,length_um
_0817_,8.14
net36,8.14
net337,8.14
_0407_,8.13
_0017_,8.12
_0438_,8.12
_0704_,8.12
net297,8.1
_0310_,8.08
_0472_,8.08
_1192_,8.08
regs.ier\[1\],8.06
_0804_,8.04
_0916_,8.04
temt,8.04
_0612_,8.02
_1058_,8.02
_1107_,8.02
_1232_,8.02
rx_fifo.fifo\[3\]\[6\],7.995
_0546_,7.98
_1100_,7.98
_1161_,7.98
_1174_,7.98
tx_fifo.fifo\[5\]\[4\],7.95
rx_fifo.fifo\[7\]\[4\],7.91
_1101_,7.86
rx_fifo.fifo\[4\]\[9\],7.805
_0457_,7.79
